freq,unit,direct,na_item,geo,time,Value
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2021,6023.1
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2022,6741.63
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severen tsentralen,2023,7496.61
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2013,5902.53
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2014,6138.18
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2015,6351.41
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2016,6134.54
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2017,6080.84
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2018,6969.25
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2019,6799.51
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2020,6791.51
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2021,7445.25
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2022,8451.52
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Severoiztochen,2023,9413.55
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2013,6393.98
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2014,6303.6
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2015,6675.07
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2016,6877.42
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2017,7383.23
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2018,8095.03
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2019,7633.58
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2020,7666.44
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2021,8285.15
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2022,8840.46
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugoiztochen,2023,9947.78
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2013,20275.44
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2014,21670.47
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2015,22278.74
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2016,23974.92
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2017,25506.79
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2018,27505.65
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2019,28479.08
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2020,26325.03
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2021,28189.31
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2022,33525.81
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yugozapaden,2023,38643.86
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2013,8489.61
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2014,8889.37
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2015,8972.17
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2016,9516.33
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2017,9657.95
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2018,10665.12
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2019,10733.69
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2020,10112.48
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2021,11566.22
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2022,13256.54
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Yuzhen tsentralen,2023,14754.39
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Praha,2013,18564.4
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Praha,2014,19401.63
Annual,"Million purchasing power standards (PPS, EU27 from 2020)",Balance,"Disposable income, net",Praha,2015,19482.51
